filter	section	division	group	class	code	class_type	V4.3_equivalent	code(4.3)
CICES	Provisioning (Biotic)	Biomass	Cultivated terrestrial plants for nutrition, materials or energy	Cultivated terrestrial plants (including fungi, algae) grown for nutritional purposes	1.1.1.1	Crops by amount, type (e.g. cereals, root crops, soft fruit, etc.)	Cultivated crops	1.1.1.1
CICES	Provisioning (Biotic)	Biomass	Cultivated terrestrial plants for nutrition, materials or energy	Fibres and other materials from cultivated plants, fungi, algae and bacteria for direct use or processing	1.1.1.2	Material by amount, type, use, media (land, soil, freshwater, marine)	Fibres and other materials from plants, algae and animals for direct use or processing	1.2.1.1
CICES	Provisioning (Biotic)	Biomass	Cultivated terrestrial plants for nutrition, materials or energy	Cultivated plants (including fungi, algae) grown as a source of  energy	1.1.1.3	By amount, type, source	Plant-based resources	1.3.1.1
CICES	Provisioning (Biotic)	Biomass	Cultivated aquatic  plants for nutrition, materials or energy	Cultivated plants grown for nutritional purposes by in- situ aquaculture	1.1.2.1	Plants, algae by amount, type	Plants and algae from in-situ aquaculture	1.1.1.5
CICES	Provisioning (Biotic)	Biomass	Cultivated aquatic  plants for nutrition, materials or energy	Cultivated plants grown for material purposes by in- situ aquaculture (excluding genetic materials)	1.1.2.2	Plants, algae by amount, type	Plants and algae from in-situ aquaculture	1.1.1.5
CICES	Provisioning (Biotic)	Biomass	Cultivated aquatic  plants for nutrition, materials or energy	Cultivated plants grown as a source of energy by in-situ aquaculture	1.1.2.3	Plants, algae by amount, type	Plants and algae from in-situ aquaculture	1.1.1.5
CICES	Provisioning (Biotic)	Biomass	Reared animals  for nutrition, materials or energy	Animals reared to provide nutrition	1.1.3.1	Animals, products by amount, type (e.g. beef, dairy)	Reared animals and their outputs	1.1.1.2
CICES	Provisioning (Biotic)	Biomass	Reared animals  for nutrition, materials or energy	Fibres and other materials from reared animals for direct use or processing (excluding genetic materials)	1.1.3.2	Material by amount, type, use, media (land, soil, freshwater, marine)	Materials from plants, algae and animals for agricultural use	1.2.1.2
CICES	Provisioning (Biotic)	Biomass	Reared animals  for nutrition, materials or energy	Animals reared to provide energy (including mechanical)	1.1.3.3	By amount, type, source	Animal-based resources	1.3.1.2
CICES	Provisioning (Biotic)	Biomass	Reared aquatic animals for nutrition, materials or energy	Animals reared by in-situ aquaculture for nutritional purposes	1.1.4.1	Animals by amount, type	Animals from in-situ aquaculture	1.1.1.6
