name	code
Seagrass meadows	1.1.1
Kelp Forests	1.1.2
Coral reefs	1.1.3
Shellfish beds and reefs	1.1.4
Benthic systems	1.1.5
Subtidal rocky reefs	1.1.6
Subtidal sand beds	1.1.7
Subtidal mud plains	1.1.8
Upwelling zones	1.1.9
Epipelagic zone	1.2.1
Mesopelagic zone	1.2.2
Bathypelagic zone	1.2.3
Abysopelagic zone	1.2.4
Sea Ice	1.2.5
Continental and island slopes	1.3.1
Submarine canyons	1.3.2
Abyssal plains	1.3.3
Seamounts, ridges and plateaus	1.3.4
Deepwater beds	1.3.5
Trenches and troughs	1.3.6
Chemosynthetic-based ecosystems	1.3.7
Rocky shorelines	2.1.1
Muddy shorelines	2.1.2
Sandy shorelines	2.1.3
Boulder and cobble shores	2.1.4
Coastal dunes	2.2.1
Coastal cliffs	2.2.2
Deepwater coastal inlets	2.3.1
Riverine estuaries and bays	2.3.2
Coastal lakes and lagoons	2.3.3
Coastal river deltas	2.4.1
Mangroves	2.4.2
Coastal salt marshes and reedbeds	2.4.3
Tropical flooded forests and peat forests	3.1.1
Subtropical-temperate forested peatlands	3.1.2
Peat bogs	3.1.3
Fens	3.1.4
Permanent upland streams	4.1.1
Permanent lowland rivers	4.1.2
Freeze-thaw rivers and streams	4.1.3
Seasonal upland rivers	4.1.4
Seasonal lowland rivers	4.1.5
Episodic arid rivers	4.1.6
Large lowland rivers	4.1.7
Large permanent freshwater lakes	4.2.1
Small permanent freshwater lakes	4.2.2
Seasonal Freshwater lakes	4.2.3
Freeze-thaw freshwater lakes	4.2.4
Ephemeral freshwater lakes	4.2.5
Springs and oases	4.2.6
Geothermal pools and wetlands	4.2.7
Sub-glacial lakes	4.2.8
Permanent salt lakes	4.3.1
Ephemeral salt lakes	4.3.2
Tropical rain forests	5.1.1
Tropical moist forests	5.1.2
Subtropical humid forests	5.1.3
Tropical dry forests	5.2.1
Subtropical dry forests	5.2.2
Tropical cloud forests	5.3.1
Subtropical mountain forests	5.3.2
Cool temperate moist forests	6.1.1
Warm temperate rainforests	6.1.2
Temperate continental forests	6.2.1
Temperate mountain forests	6.2.2
Temperate pyric humid forests	6.3.1
Temperate pyric sclerophyll forests	6.3.2
Semi-desert steppe	10.1.1
Succulent or thorny semi-desert	10.1.2
Sclerophyll hot semi-deserts	10.1.3
Cool semi-deserts	10.1.4
Hyper and arid deserts	10.2.1
Salt deserts	10.2.2
Rocky deserts	10.2.3
Intensive annual cropland	13.1.1
Extensive annual cropland	13.1.2
Irrigated annual cropland	13.1.3
Fallow	13.3.1
Hedgerows	13.3.2
Alley cropping	13.3.3
Multi-strata systems	13.3.4
Parklands	13.3.5
Shaded perennial crop systems	13.3.6
Silvo-arable systems	13.3.7
Silvo-pastoral systems	13.3.8
Plantations	13.4.1
Vinyards	13.4.2
Orchards	13.4.3
Short rotation coppice	13.4.4
Permanently inundated ricepaddies	13.6.1
Temporary inundated rice paddies	13.6.2
Purpose built constructions foraquaculture	13.7.1
Cages within natural and semi-natural freshwater	13.7.2
Rice-fish co-culture	13.7.3
Marine aquafarms	13.8.1
Aquaculture ponds in coastalsystems	13.8.2
Large reservoirs	14.1.1
Constructed lacustrine wetlands	14.1.2
Artificial water courses	14.1.3
Submerged artificial structures	14.2.1
Other anthropogenic marinesystems	14.2.2
Urban parks and forests	15.1.1
Lawns, sports fields, golf courses	15.1.2
Urban lakes, ponds, wetlands	15.1.3
Urban and peri-urban cultivation	15.1.4
Street trees and shrubs	15.1.5
Other green infrastructure	15.1.6
Other blue infrastructure	15.1.7
Continuous urban surfaces	15.2.1
Discontinuous urban surfaces	15.2.2
Industrial and commercial units	15.3.1
Roads and rail networks	15.3.2
Port areas	15.3.3
Airports	15.3.4
Mineral extraction sites	15.4.1
Dump sites	15.4.2
Construction sites	15.4.3
