name	study_id	study_location	protection_status	latitude	longitude	valuation_methods	beneficiary_unit	value_year	int__per_hectare_per_year	title	reference	year_pub	site_area_in_hectares	site_length_km
12410006	1241	Duesseldorf	No protection	51.231144	6.772381	CE	person	2020	nan	The Value of Naturalness of Urban Green Spaces: Evidence From a Discrete Choice Experiment	Bronnmann, J., Liebelt, V., Marder, F., Meya, J., & Quaas, M. F. (2020). The Value of Naturalness of Urban Green Spaces: Evidence From a Discrete Choice Experiment (SSRN Scholarly Paper No. 3721942). https://doi.org/10.2139/ssrn.3721942	2020	nan	nan
12410005	1241	Dresden	No protection	51.05	13.74	CE	person	2020	nan	The Value of Naturalness of Urban Green Spaces: Evidence From a Discrete Choice Experiment	Bronnmann, J., Liebelt, V., Marder, F., Meya, J., & Quaas, M. F. (2020). The Value of Naturalness of Urban Green Spaces: Evidence From a Discrete Choice Experiment (SSRN Scholarly Paper No. 3721942). https://doi.org/10.2139/ssrn.3721942	2020	nan	nan
12410004	1241	Dortmund	No protection	51.513889	7.465278	CE	person	2020	nan	The Value of Naturalness of Urban Green Spaces: Evidence From a Discrete Choice Experiment	Bronnmann, J., Liebelt, V., Marder, F., Meya, J., & Quaas, M. F. (2020). The Value of Naturalness of Urban Green Spaces: Evidence From a Discrete Choice Experiment (SSRN Scholarly Paper No. 3721942). https://doi.org/10.2139/ssrn.3721942	2020	nan	nan
12410003	1241	Bremen	No protection	53.076944	8.808889	CE	person	2020	nan	The Value of Naturalness of Urban Green Spaces: Evidence From a Discrete Choice Experiment	Bronnmann, J., Liebelt, V., Marder, F., Meya, J., & Quaas, M. F. (2020). The Value of Naturalness of Urban Green Spaces: Evidence From a Discrete Choice Experiment (SSRN Scholarly Paper No. 3721942). https://doi.org/10.2139/ssrn.3721942	2020	nan	nan
12410002	1241	Berlin	No protection	52.52	13.405	CE	person	2020	nan	The Value of Naturalness of Urban Green Spaces: Evidence From a Discrete Choice Experiment	Bronnmann, J., Liebelt, V., Marder, F., Meya, J., & Quaas, M. F. (2020). The Value of Naturalness of Urban Green Spaces: Evidence From a Discrete Choice Experiment (SSRN Scholarly Paper No. 3721942). https://doi.org/10.2139/ssrn.3721942	2020	nan	nan
12410001	1241	Germany	No protection	51.0	9.0	CE	person	2020	nan	The Value of Naturalness of Urban Green Spaces: Evidence From a Discrete Choice Experiment	Bronnmann, J., Liebelt, V., Marder, F., Meya, J., & Quaas, M. F. (2020). The Value of Naturalness of Urban Green Spaces: Evidence From a Discrete Choice Experiment (SSRN Scholarly Paper No. 3721942). https://doi.org/10.2139/ssrn.3721942	2020	nan	nan
12410008	1241	Essen	No protection	51.450833	7.013056	CE	person	2020	nan	The Value of Naturalness of Urban Green Spaces: Evidence From a Discrete Choice Experiment	Bronnmann, J., Liebelt, V., Marder, F., Meya, J., & Quaas, M. F. (2020). The Value of Naturalness of Urban Green Spaces: Evidence From a Discrete Choice Experiment (SSRN Scholarly Paper No. 3721942). https://doi.org/10.2139/ssrn.3721942	2020	nan	nan
12410007	1241	Erfurt	No protection	50.978056	11.02916	CE	person	2020	nan	The Value of Naturalness of Urban Green Spaces: Evidence From a Discrete Choice Experiment	Bronnmann, J., Liebelt, V., Marder, F., Meya, J., & Quaas, M. F. (2020). The Value of Naturalness of Urban Green Spaces: Evidence From a Discrete Choice Experiment (SSRN Scholarly Paper No. 3721942). https://doi.org/10.2139/ssrn.3721942	2020	nan	nan
12400003	1240	German Wadden Sea	Protected	53.862	8.694	CE	household	2006	3969.3082	Willingness to pay among households to prevent coastal resources from polluting by oil spills: A pilot survey	Liu, X., Wirtz, K. W., Kannen, A., & Kraft, D. (2009). Willingness to pay among households to prevent coastal resources from polluting by oil spills: A pilot survey. Marine pollution bulletin, 58(10), 1514-1521.	2009	441000.0	nan
12400002	1240	German Wadden Sea	Protected	53.862	8.694	CE	household	2006	nan	Willingness to pay among households to prevent coastal resources from polluting by oil spills: A pilot survey	Liu, X., Wirtz, K. W., Kannen, A., & Kraft, D. (2009). Willingness to pay among households to prevent coastal resources from polluting by oil spills: A pilot survey. Marine pollution bulletin, 58(10), 1514-1521.	2009	441000.0	nan
12400001	1240	German Wadden Sea	Protected	53.862	8.694	CE	household	2006	63161.1045	Willingness to pay among households to prevent coastal resources from polluting by oil spills: A pilot survey	Liu, X., Wirtz, K. W., Kannen, A., & Kraft, D. (2009). Willingness to pay among households to prevent coastal resources from polluting by oil spills: A pilot survey. Marine pollution bulletin, 58(10), 1514-1521.	2009	441000.0	nan
12390001	1239	Berlin	No protection	52.52	13.405	CE	person	2018	4849.6412	Economic valuation of street-level urban greening: A case study from an evolving mixed-use area in Berlin	Fruth, E., Kvistad, M., Marshall, J., Pfeifer, L., Rau, L., Sagebiel, J., Soto, D., Tarpey, J., Weir, J., & Winiarski, B. (2019). Economic valuation of street-level urban greening: A case study from an evolving mixed-use area in Berlin. Land Use Policy, 89, 104237. https://doi.org/10.1016/j.landusepol.2019.104237	2019	89180.0	nan
12390004	1239	Berlin	No protection	52.52	13.405	CE	person	2018	5164.3718	Economic valuation of street-level urban greening: A case study from an evolving mixed-use area in Berlin	Fruth, E., Kvistad, M., Marshall, J., Pfeifer, L., Rau, L., Sagebiel, J., Soto, D., Tarpey, J., Weir, J., & Winiarski, B. (2019). Economic valuation of street-level urban greening: A case study from an evolving mixed-use area in Berlin. Land Use Policy, 89, 104237. https://doi.org/10.1016/j.landusepol.2019.104237	2019	89180.0	nan
12390003	1239	Berlin	No protection	52.52	13.405	CE	person	2018	3532.3207	Economic valuation of street-level urban greening: A case study from an evolving mixed-use area in Berlin	Fruth, E., Kvistad, M., Marshall, J., Pfeifer, L., Rau, L., Sagebiel, J., Soto, D., Tarpey, J., Weir, J., & Winiarski, B. (2019). Economic valuation of street-level urban greening: A case study from an evolving mixed-use area in Berlin. Land Use Policy, 89, 104237. https://doi.org/10.1016/j.landusepol.2019.104237	2019	89180.0	nan
12390002	1239	Berlin	No protection	52.52	13.405	CE	person	2018	5421.2208	Economic valuation of street-level urban greening: A case study from an evolving mixed-use area in Berlin	Fruth, E., Kvistad, M., Marshall, J., Pfeifer, L., Rau, L., Sagebiel, J., Soto, D., Tarpey, J., Weir, J., & Winiarski, B. (2019). Economic valuation of street-level urban greening: A case study from an evolving mixed-use area in Berlin. Land Use Policy, 89, 104237. https://doi.org/10.1016/j.landusepol.2019.104237	2019	89180.0	nan
12380006	1238	Kellerwald-Edersee	Protected	51.166	9.0	FI	total	2007	489.6888	The economic impact of tourism in six German national parks	Mayer, M., Müller, M., Woltering, M., Arnegger, J., & Job, H. (2010). The economic impact of tourism in six German national parks. Landscape and Urban Planning, 97(2), 73–82. https://doi.org/10.1016/j.landurbplan.2010.04.013	2010	5724.0	nan
12380004	1238	Müritz	Protected	53.439444	12.836667	FI	total	2007	316.1254	The economic impact of tourism in six German national parks	Mayer, M., Müller, M., Woltering, M., Arnegger, J., & Job, H. (2010). The economic impact of tourism in six German national parks. Landscape and Urban Planning, 97(2), 73–82. https://doi.org/10.1016/j.landurbplan.2010.04.013	2010	32200.0	nan
12380005	1238	Hainich	Protected	51.096667	10.390833	FI	total	2007	490.8997	The economic impact of tourism in six German national parks	Mayer, M., Müller, M., Woltering, M., Arnegger, J., & Job, H. (2010). The economic impact of tourism in six German national parks. Landscape and Urban Planning, 97(2), 73–82. https://doi.org/10.1016/j.landurbplan.2010.04.013	2010	7513.0	nan
12380001	1238	Wadden Sea National Park	Protected	53.7	7.333333	FI	total	2007	34011.3836	The economic impact of tourism in six German national parks	Mayer, M., Müller, M., Woltering, M., Arnegger, J., & Job, H. (2010). The economic impact of tourism in six German national parks. Landscape and Urban Planning, 97(2), 73–82. https://doi.org/10.1016/j.landurbplan.2010.04.013	2010	22772.0	nan
12380002	1238	Bavarian Forest National Park	Protected	49.0	12.666667	FI	total	2007	822.3934	The economic impact of tourism in six German national parks	Mayer, M., Müller, M., Woltering, M., Arnegger, J., & Job, H. (2010). The economic impact of tourism in six German national parks. Landscape and Urban Planning, 97(2), 73–82. https://doi.org/10.1016/j.landurbplan.2010.04.013	2010	24217.0	nan
12380003	1238	Eifel	Protected	50.616667	6.433333	FI	total	2007	592.8582	The economic impact of tourism in six German national parks	Mayer, M., Müller, M., Woltering, M., Arnegger, J., & Job, H. (2010). The economic impact of tourism in six German national parks. Landscape and Urban Planning, 97(2), 73–82. https://doi.org/10.1016/j.landurbplan.2010.04.013	2010	10700.0	nan
12370001	1237	Urban green spaces in Leipzig	No protection	51.34	12.375	HP	total	2007	12829.0996	Hedonic pricing analysis of the influence of urban green spaces onto residential prices: The case of Leipzig	Liebelt, V., Bartke, S., & Schwarz, N. (2018). Hedonic pricing analysis of the influence of urban green spaces onto residential prices: The case of Leipzig, Germany. European Planning Studies, 26(1), 133–157. https://doi.org/10.1080/09654313.2017.1376314	2018	4900.0	nan
12370002	1237	Urban green spaces in Leipzig	No protection	51.34	12.375	HP	total	2007	1392.8737	Hedonic pricing analysis of the influence of urban green spaces onto residential prices: The case of Leipzig	Liebelt, V., Bartke, S., & Schwarz, N. (2018). Hedonic pricing analysis of the influence of urban green spaces onto residential prices: The case of Leipzig, Germany. European Planning Studies, 26(1), 133–157. https://doi.org/10.1080/09654313.2017.1376314	2018	4900.0	nan
12370003	1237	Urban green spaces in Leipzig	No protection	51.34	12.375	HP	total	2007	1053.8189	Hedonic pricing analysis of the influence of urban green spaces onto residential prices: The case of Leipzig	Liebelt, V., Bartke, S., & Schwarz, N. (2018). Hedonic pricing analysis of the influence of urban green spaces onto residential prices: The case of Leipzig, Germany. European Planning Studies, 26(1), 133–157. https://doi.org/10.1080/09654313.2017.1376314	2018	4900.0	nan
12360001	1236	Grunewald Forest	Protected	52.466667	13.25	TC	person	2015	nan	Going to the woods is going home: Recreational benefits of a larger urban forest site—A travel cost analysis for Berlin, Germany	Bertram, C., & Larondelle, N. (2017). Going to the woods is going home: Recreational benefits of a larger urban forest site—A travel cost analysis for Berlin, Germany. Ecological economics, 132, 255-263.	2017	3000.0	nan
12360002	1236	Grunewald Forest	Protected	52.466667	13.25	TC	person	2015	1960.0367	Going to the woods is going home: Recreational benefits of a larger urban forest site—A travel cost analysis for Berlin, Germany	Bertram, C., & Larondelle, N. (2017). Going to the woods is going home: Recreational benefits of a larger urban forest site—A travel cost analysis for Berlin, Germany. Ecological economics, 132, 255-263.	2017	3000.0	nan
12350001	1235	Emscher River	No protection	51.563333	6.689722	DC	total	2017	26.2234	Large scale river restoration pays off A case study of ES valuation for the Emscher restoration generation project	Gerner, N. V., Nafo, I., Winking, C., Wencki, K., Strehl, C., Wortberg, T., ... & Birk, S. (2018). Large-scale river restoration pays off: A case study of ecosystem service valuation for the Emscher restoration generation project. Ecosystem Services, 30, 327-338.	2018	86500.0	249.73
