from	to
12410006	15.1.1
12410005	15.1.1
12410004	15.1.1
12410003	15.1.1
12410002	15.1.1
12410001	15.1.1
12410008	15.1.1
12410007	15.1.1
12390001	15.1.5
12390004	15.1.6
12390003	15.1.6
12390002	15.1.5
12380006	6.2.1
12380006	4.2.1
12380004	4.2.2
12380004	6.2.1
12380004	4.2.1
12380004	3.1.3
12380005	6.2.1
12380005	6.2.2
12380001	2.4.1
12380001	2.1.3
12380001	2.4.3
12380001	2.2.1
12380001	2.1.2
12380001	2.3.2
12380001	2.1.1
12380002	6.2.1
12380002	4.2.1
12380002	6.2.2
12380003	6.2.1
12380003	4.2.2
12380003	4.1.1
12380003	4.2.1
12380003	4.1.2
12370001	15.1.6
12370001	15.1.1
12370002	15.1.6
12370002	15.1.1
12370003	15.1.6
12370003	15.1.1
12360001	4.2.2
12360001	15.1.1
12360002	4.2.2
12360002	15.1.1
12350001	4.1.1
12350001	4.2.1
12350001	4.1.2
12350002	4.1.1
12350002	4.2.1
12350002	4.1.2
12350004	4.1.1
12350004	4.2.1
12350004	4.1.2
12350005	4.1.1
12350005	4.2.1
12350005	4.1.2
12350006	4.2.1
12350007	4.1.1
12350007	4.2.1
12350007	4.1.2
12350003	4.1.1
12350003	4.2.1
12350003	4.1.2
12340001	6.2.1
12340001	6.2.2
12340002	6.2.1
12340002	6.2.2
12330001	6.2.1
12330001	6.2.2
12330002	6.2.1
12330002	6.2.2
12330003	6.2.1
12330003	6.2.2
12320004	6.2.1
12320004	6.2.2
12320003	6.2.1
12320003	6.2.2
12320002	6.2.1
12320002	6.2.2
12320001	6.2.1
12320001	6.2.2
12320006	6.2.1
12320006	6.2.2
12320007	6.2.1
12320007	6.2.2
12320005	6.2.1
12320005	6.2.2
12310001	6.2.1
12310002	6.2.1
12300001	15.1.5
12300001	15.4
12300001	15.1.1
12300001	15.1.3
12280012	6.2.1
12280010	6.2.1
12280009	13.1.1
12280008	6.2.1
12280007	4.1.2
12280006	6.2.1
12280005	6.2.1
12280004	6.2.1
12280003	13.1.1
12280002	6.2.1
12280013	6.2.1
12280014	6.2.1
12280015	6.2.1
12280016	4.1.2
12280036	6.2.1
12280035	4.1.2
12280034	6.2.1
12280033	6.2.1
12280032	6.2.1
12280031	6.2.1
12280030	6.2.1
12280029	13.1.1
12280027	6.2.1
12280026	4.1.2
12280025	6.2.1
12280024	6.2.1
12280023	6.2.1
12280022	6.2.1
12280021	6.2.1
12280020	6.2.1
12280019	13.1.1
12280017	6.2.1
12270005	3.1.3
12270004	3.1.3
12270003	3.1.3
12270002	3.1.3
12250001	2.4.3
12240001	3.1.2
12240004	3.1.2
12240003	3.1.2
12240002	3.1.2
12230001	3.1.3
12230002	3.1.3
12230003	3.1.3
12230004	3.1.3
12210001	14.1.2
12210002	14.1.2
12210003	14.1.2
12210004	14.1.2
12210005	14.1.2
12190001	6.2.1
12170001	3.1.2
12160001	2.2.1
12160002	2.2.1
12160003	2.2.1
12140001	3.1.2
12140002	3.1.2
12140003	3.1.2
12140004	3.1.2
12140006	3.1.2
12140007	3.1.2
12140008	3.1.2
12140005	3.1.2
12130001	14.1.2
12130002	14.1.2
12120003	15.1.1
12120003	15.1.5
12120011	13.4.3
12120002	6.2.1
12090001	10.1.1
12080001	13.1.1
12080001	5.3.1
12070001	15.1.1
12070001	15.1.3
12060001	3.1.2
12060001	4.2.1
12060002	3.1.2
12060002	4.2.1
12060003	3.1.2
12060003	4.2.1
12060004	3.1.2
12060004	4.2.1
12060005	3.1.2
12060005	4.2.1
12060006	3.1.2
12060006	4.2.1
12060007	3.1.2
12060007	4.2.1
12060008	3.1.2
12060008	4.2.1
