from	to
6.2.2	6.2
4.3.1	4.3
4.1.7	4.1
10.2.1	10.2
13.3.3	13.3
6.3.1	6.3
13.4.1	13.4
13.3.1	13.3
1.1.4	1.1
10.1.2	10.1
15.1.3	15.1
10.1.3	10.1
10.1.4	10.1
14.2.1	14.2
14.1.3	14.1
2.1.2	2.1
2.1.4	2.1
13.8.2	13.8
1.3.5	1.3
13.1.3	13.1
2.2.1	2.2
4.2.5	4.2
15.1.2	15.1
1.3.2	1.3
15.1.5	15.1
13.8.1	13.8
14.1.1	14.1
13.3.6	13.3
6.2.1	6.2
14.2.2	14.2
15.1.1	15.1
1.1.1	1.1
5.1.1	5.1
1.2.4	1.2
1.2.5	1.2
4.2.3	4.2
13.6.1	13.6
15.3.1	15.3
1.1.6	1.1
15.1.6	15.1
4.1.5	4.1
15.4.2	15.4
1.3.1	1.3
15.4.3	15.4
1.1.9	1.1
2.4.2	2.4
13.7.3	13.7
4.1.3	4.1
4.2.1	4.2
15.3.2	15.3
15.1.7	15.1
4.2.7	4.2
1.2.3	1.2
13.3.8	13.3
15.3.4	15.3
2.2.2	2.2
4.2.2	4.2
4.2.6	4.2
5.1.3	5.1
13.3.2	13.3
1.3.3	1.3
15.2.2	15.2
1.1.7	1.1
4.2.4	4.2
3.1.4	3.1
5.2.1	5.2
1.2.1	1.2
4.1.4	4.1
10.1.1	10.1
1.1.2	1.1
3.1.3	3.1
15.3.3	15.3
4.1.1	4.1
4.3.2	4.3
13.3.4	13.3
2.4.3	2.4
15.4.1	15.4
14.1.2	14.1
2.4.1	2.4
5.2.2	5.2
1.2.2	1.2
2.1.1	2.1
1.1.3	1.1
13.1.1	13.1
1.3.4	1.3
2.3.3	2.3
13.4.3	13.4
6.1.1	6.1
3.1.1	3.1
6.1.2	6.1
1.3.7	1.3
15.2.1	15.2
2.3.1	2.3
2.1.3	2.1
1.1.8	1.1
13.4.2	13.4
15.1.4	15.1
2.3.2	2.3
5.1.2	5.1
5.3.1	5.3
1.3.6	1.3
5.3.2	5.3
13.3.7	13.3
10.2.2	10.2
1.1.5	1.1
13.6.2	13.6
13.4.4	13.4
10.2.3	10.2
13.7.1	13.7
13.7.2	13.7
4.2.8	4.2
13.1.2	13.1
13.3.5	13.3
4.1.2	4.1
6.3.2	6.3
4.1.6	4.1
3.1.2	3.1
