from	to
12400003	2.1
12400002	2.1
12400001	1.1
12290002	1.1
12290002	4.3
12290002	5.2
12290002	2.1
12290002	13.1
12290002	2.4
12290001	1.1
12290001	4.3
12290001	15.2
12290001	2.1
12290001	3.2
12290001	14.1
12290001	2.3
12290001	9.5
12290001	7.1
12290001	4.2
12290001	6.2
12290001	4.1
12290001	2.4
12280011	3.4
12280011	13.2
12280001	3.4
12280001	13.2
12280018	3.4
12280018	13.2
12280028	3.4
12280028	13.2
12270007	13.5
12270006	13.5
12270001	13.2
12260001	14.1
12260001	4.2
12260001	4.1
12230005	13.5
12230006	13.5
12200001	4.2
12180006	9.5
12180007	8.2
12180008	8.2
12180009	8.2
12180009	9.4
12180010	8.2
12180011	3.2
12180011	9.5
12180012	9.5
12180005	3.2
12180005	9.5
12180004	8.2
12180003	8.2
12180003	9.4
12180002	8.2
12180001	8.2
12150001	3.1
12150001	13.2
12150002	3.1
12150002	13.2
12120004	8.3
12120004	3.1
12120005	6.2
12120005	7.1
12120006	9.5
12120007	13.2
12120008	3.2
12120009	7.1
12120010	6.2
12120012	15.1
12120013	8.3
12120013	3.1
12120014	6.2
12120014	7.1
12120015	9.5
12120016	13.2
12120017	3.2
12120018	6.2
12120018	7.1
12120019	6.2
12120019	7.1
12120020	6.2
12120020	7.1
12120021	6.2
12120021	7.1
12120022	6.2
12120022	7.1
12120023	6.2
12120023	7.1
12120024	12.3
12120001	7.1
12120025	12.3
12120026	12.3
12120027	12.3
12120028	15.1
12120028	3.2
12120028	13.4
12120028	3.1
12120028	9.5
12120028	13.2
12120028	7.1
12120028	8.3
12120028	6.2
12120029	15.1
12120029	3.2
12120029	13.4
12120029	3.1
12120029	9.5
12120029	13.2
12120029	7.1
12120029	8.3
12120029	6.2
12120030	6.2
12120030	7.1
12120031	9.5
12120032	3.2
12110005	1.3
12110001	1.3
12110002	1.3
12110003	1.3
12110004	1.3
12110006	1.3
12100001	8.2
12100002	8.2
11990002	6.2
11980001	1.1
11980001	1.2
11980002	1.1
11980002	1.2
11980003	1.1
11980003	1.2
11980004	1.1
11980004	1.2
11980005	1.1
11980005	1.2
11980006	1.1
11980006	1.2
11980007	1.1
11980007	1.2
11980008	1.1
11980008	1.2
11980009	1.1
11980009	1.2
11980010	1.1
11980010	1.2
11980011	1.1
11980011	1.2
11980012	1.1
11980012	1.2
11980013	1.1
11980013	1.2
11980014	1.1
11980014	1.2
11980015	1.1
11980015	1.2
11980016	1.1
11980016	1.2
11980017	1.1
11980017	1.2
11980018	1.1
11980018	1.2
11980019	1.1
11980019	1.2
11980020	1.1
11980020	1.2
11980021	1.1
11980021	1.2
11980022	1.1
11980022	1.2
11980024	1.1
11980024	1.2
11980023	1.1
11980023	1.2
11970007	1.2
11970008	1.2
11970009	1.2
11970010	1.2
11970011	1.2
11970012	1.2
11970013	1.2
11970014	1.2
11970015	1.2
11970016	1.2
11970017	1.2
11970018	1.2
11970019	1.2
11970020	1.2
11970006	1.2
11970005	1.2
11970003	1.2
11970001	1.2
11970002	1.2
11970004	1.2
11960001	1.3
11950001	1.3
11890001	9.1
11890002	9.1
11890003	9.1
11890004	9.1
11890005	9.1
11890006	9.1
11880002	13.2
11880006	13.2
11880008	13.2
11760001	5.1
11760001	9.2
11760001	6.1
11760002	5.1
11760002	9.2
11760002	6.1
11760004	5.1
11760004	9.2
11760004	6.1
11760003	5.1
11760003	9.2
11760003	6.1
11690004	1.3
11690003	1.3
11690002	1.3
11690001	1.3
11670001	9.4
11650001	9.1
11650002	9.1
11650003	9.1
11630008	9.1
11630001	9.1
11630002	9.1
11630003	9.1
11630004	9.1
11630005	9.1
11630006	9.1
11630007	9.1
11630011	9.1
11630012	9.1
11630013	9.1
11630014	9.1
11630015	9.1
11630016	9.1
11630017	9.1
11630018	9.1
11630019	9.1
11630020	9.1
11630021	9.1
11630022	9.1
11630010	9.1
11630009	9.1
11620011	9.1
11620012	9.1
11620013	9.1
11620014	9.1
11620015	9.1
11620016	9.1
11620017	9.1
11620018	9.1
11620019	9.1
11620020	9.1
11620021	9.1
11620022	9.1
11620023	9.1
11620024	9.1
11620010	9.1
11620009	9.1
11620008	9.1
11620007	9.1
11620001	9.1
11620002	9.1
11620003	9.1
11620004	9.1
11620005	9.1
11620006	9.1
11610001	9.1
11610002	9.1
11610003	9.1
11610004	9.1
11610005	9.1
11610006	9.1
11610007	9.1
11610009	9.1
11610010	9.1
11610011	9.1
11610012	9.1
11610008	9.1
11590001	13.1
11590001	5.2
11590002	13.1
11590002	5.2
11590003	13.1
11590003	5.2
11590004	13.1
11590004	5.2
11590005	13.1
11590005	5.2
11590006	13.1
11590006	5.2
11590007	13.1
11590007	5.2
11590008	13.1
11590008	5.2
11590009	13.1
11590010	13.1
11590011	13.1
11590012	13.1
11580012	13.1
11580012	5.2
11580013	13.1
11580013	5.2
11580014	13.1
11580014	5.2
11580015	13.1
11580015	5.2
11580016	13.1
11580016	5.2
11580017	13.1
11580017	5.2
11580018	13.1
11580018	5.2
11580019	13.1
11580019	5.2
11580020	13.1
11580020	5.2
11580021	13.1
11580021	5.2
11580022	13.1
11580022	5.2
11580023	13.1
11580023	5.2
11580024	13.1
11580024	5.2
11580011	13.1
11580011	5.2
11580010	13.1
11580010	5.2
11580008	13.1
11580008	5.2
11580001	13.1
11580001	5.2
11580002	13.1
11580002	5.2
11580003	13.1
11580003	5.2
11580004	13.1
11580004	5.2
11580005	13.1
11580005	5.2
11580006	13.1
11580006	5.2
11580007	13.1
11580007	5.2
11580009	13.1
11580009	5.2
11560028	9.1
11560028	13.1
11560028	5.1
11560028	4.1
11560007	9.1
11560007	13.1
11560007	5.1
11560007	4.1
11560008	9.1
11560008	13.1
11560008	5.1
11560008	4.1
11560009	9.1
11560009	13.1
11560009	5.1
11560009	4.1
11560010	9.1
11560010	13.1
11560010	5.1
11560010	4.1
11560011	9.1
11560011	13.1
11560011	5.1
11560011	4.1
11560012	9.1
11560012	13.1
11560012	5.1
11560012	4.1
11560013	9.1
11560013	13.1
11560013	5.1
11560013	4.1
11560014	9.1
11560014	13.1
11560014	5.1
11560014	4.1
11560015	9.1
11560015	13.1
11560015	5.1
11560015	4.1
11560016	9.1
11560016	13.1
11560016	5.1
11560016	4.1
11560017	9.1
11560017	13.1
11560017	5.1
11560017	4.1
11560018	9.1
11560018	13.1
11560018	5.1
11560018	4.1
11560019	9.1
11560019	13.1
11560019	5.1
11560019	4.1
11560020	9.1
11560020	13.1
11560020	5.1
11560020	4.1
11560021	9.1
11560021	13.1
11560021	5.1
11560021	4.1
11560022	9.1
11560022	13.1
11560022	5.1
11560022	4.1
11560023	9.1
11560023	13.1
11560023	5.1
11560023	4.1
11560024	9.1
11560024	13.1
11560024	5.1
11560024	4.1
11560025	9.1
11560025	13.1
11560025	5.1
11560025	4.1
11560026	9.1
11560026	13.1
11560026	5.1
11560026	4.1
11560027	9.1
11560027	13.1
11560027	5.1
11560027	4.1
11560006	9.1
11560006	13.1
11560006	5.1
11560006	4.1
11560005	9.1
11560005	13.1
11560005	5.1
11560005	4.1
11560004	9.1
11560004	13.1
11560004	5.1
11560004	4.1
11560003	9.1
11560003	13.1
11560003	5.1
11560003	4.1
11560001	9.1
11560001	13.1
11560001	5.1
11560001	4.1
11560002	9.1
11560002	13.1
11560002	5.1
11560002	4.1
11560031	9.1
11560031	13.1
11560031	5.1
11560031	4.1
11560032	9.1
11560032	13.1
11560032	5.1
11560032	4.1
11560033	9.1
11560033	13.1
11560033	5.1
11560033	4.1
11560034	9.1
11560034	13.1
11560034	5.1
11560034	4.1
11560035	9.1
11560035	13.1
11560035	5.1
11560035	4.1
11560036	9.1
11560036	13.1
11560036	5.1
11560036	4.1
11560030	9.1
11560030	13.1
11560030	5.1
11560030	4.1
11560029	9.1
11560029	13.1
11560029	5.1
11560029	4.1
11550030	9.1
11550009	9.1
11550010	9.1
11550011	9.1
11550012	9.1
11550013	9.1
11550014	9.1
11550015	9.1
11550016	9.1
