from	to
12220001	12
12220001	4
11320003	3
11320003	4
11320004	13
11320007	3
11320007	4
11320008	13
11320011	3
11320011	4
11320012	13
11320015	3
11320015	4
11320016	13
10960001	2
10960001	1
10890003	1
10890002	1
10860006	13
10860006	4
10860007	13
10860007	4
10860008	13
10860008	4
10860009	13
10860009	4
10860010	13
10860010	4
10860011	13
10860011	4
10860012	13
10860012	4
10860013	13
10860013	4
10860014	13
10860014	4
10860015	13
10860015	4
10860016	13
10860016	4
10860017	13
10860017	4
10860018	13
10860018	4
10860019	13
10860019	4
10860020	13
10860020	4
10860021	13
10860021	4
10860005	13
10860005	4
10860004	13
10860004	4
10860003	13
10860003	4
10860002	13
10860002	4
10860001	13
10860001	4
10630001	9
10630002	9
10630003	9
10100001	13
10100002	13
10100003	13
10100004	13
10100005	13
10100006	13
10100007	13
10100008	13
10010004	13
10010001	13
10010002	13
10010003	13
9970001	9
9970002	9
9970003	9
9970004	9
8260098	4
8260087	4
8260088	4
8260089	4
8260090	4
8260091	4
8260092	4
8260093	4
8260094	4
8260095	4
8260096	4
8260097	4
8190008	13
8190008	4
8190008	6
8190007	13
8190007	4
8190007	6
8190006	13
8190006	4
8190006	6
8190005	13
8190005	4
8190005	6
8190004	13
8190004	4
8190004	6
8190003	13
8190003	4
8190003	6
8190002	13
8190002	4
8190002	6
8190001	13
8190001	4
8190001	6
8190009	13
8190009	4
8190009	6
8190010	13
8190010	4
8190010	6
8170006	12
8160029	1
7910002	2
7910001	2
7910004	2
7910003	2
7380014	2
7380015	2
7380016	2
7380017	2
7380018	2
7380019	2
7380020	2
7380021	2
7380022	2
7200005	1
7200006	1
7200007	1
7200008	1
6370004	6
6370008	9
5380002	2
4880001	5
4880002	5
4880003	5
2170001	4
2170002	4
2170003	4
2170004	4
2170005	4
2170006	4
1510001	4
1510002	4
1510003	4
1510004	4
1470001	2
1470002	2
1470003	2
750001	6
750002	6
750003	6
750004	6
750005	6
510002	4
510006	4
510005	4
510004	4
510003	4
510001	4
