from	to
12410006	3.1.2.4
12410005	3.1.2.4
12410004	3.1.2.4
12410003	3.1.2.4
12410002	3.1.2.4
12410001	3.1.2.4
12410008	3.1.2.4
12410007	3.1.2.4
12400003	3.2.2.1
12400002	3.2.2.1
12400001	3.2.2.1
12390001	2.1.1.2
12390001	2.1.2.2
12390001	2.2.6.2
12390004	2.1.1.2
12390004	3.2.2.2
12390004	2.1.2.2
12390004	2.2.6.2
12390004	3.1.2.4
12390004	3.2.2.1
12390003	2.1.1.2
12390003	3.2.2.2
12390003	2.1.2.2
12390003	2.2.6.2
12390003	3.1.2.4
12390003	3.2.2.1
12390002	2.1.1.2
12390002	2.1.2.2
12390002	2.2.6.2
12380006	3.1.1.1
12380004	3.1.1.1
12380005	3.1.1.1
12380001	3.1.1.1
12380002	3.1.1.1
12380003	3.1.1.1
12370001	3.2.1.1
12370001	3.1.2.3
12370001	3.2.2.2
12370001	3.1.1.2
12370001	3.1.1.1
12370001	3.2.1.3
12370001	3.2.1.2
12370001	3.1.2.4
12370001	3.2.2.1
12370002	3.2.1.1
12370002	3.1.2.3
12370002	3.2.2.2
12370002	3.1.1.2
12370002	3.1.1.1
12370002	3.2.1.3
12370002	3.2.1.2
12370002	3.1.2.4
12370002	3.2.2.1
12370003	3.2.1.1
12370003	3.1.2.3
12370003	3.2.2.2
12370003	3.1.1.2
12370003	3.1.1.1
12370003	3.2.1.3
12370003	3.2.1.2
12370003	3.1.2.4
12370003	3.2.2.1
12360001	3.1.1.2
12360001	3.1.1.1
12360002	3.1.1.2
12360002	3.1.1.1
12350001	2.2.1.3
12350002	3.1.1.2
12350004	3.1.1.2
12350005	3.1.1.2
12350006	3.1.1.1
12350007	3.1.2.2
12350003	3.1.1.2
12340001	1.1.5.2
12340002	2.1.1.2
12330001	1.1.5.2
12330002	3.2.2.2
12330002	3.2.2.1
12330003	3.2.2.2
12330003	3.2.2.1
12320004	3.2.2.1
12320003	3.2.2.1
12320002	3.2.2.1
12320001	3.2.2.1
12320006	3.2.2.1
12320007	3.2.2.1
12320005	3.2.2.1
12310001	1.1.5.2
12310002	3.1.1.1
12300001	2.1.1.2
12300001	3.1.2.3
12300001	3.1.1.1
12300001	3.1.1.2
12300001	2.1.2.2
12300001	2.2.1.3
12300001	2.2.6.2
12300001	2.2.6.1
12290002	3.2.2.1
12290001	3.2.2.1
12280012	2.2.1.3
12280011	1.1.3.2
12280011	1.1.3.1
12280010	4.2.1.1
12280009	1.1.1.1
12280008	3.2.2.2
12280008	3.2.2.1
12280007	3.1.1.1
12280007	1.1.6.1
12280006	3.1.1.1
12280005	2.2.6.1
12280004	2.2.1.3
12280003	1.1.1.1
12280002	1.1.5.2
12280001	1.1.3.2
12280001	1.1.3.1
12280013	2.2.5.1
12280014	2.2.6.1
12280015	3.1.1.1
12280016	3.1.1.1
12280016	1.1.6.1
12280036	3.2.2.2
12280036	3.2.2.1
12280035	3.1.1.1
12280035	1.1.6.1
12280034	3.1.1.1
12280033	2.2.6.1
12280032	2.2.5.1
12280031	2.2.1.3
12280030	1.1.5.2
12280029	1.1.1.1
12280027	3.2.2.2
12280027	3.2.2.1
12280026	3.1.1.1
12280026	1.1.6.1
12280025	3.1.1.1
12280024	2.2.6.1
12280023	2.2.5.1
12280022	2.2.1.3
12280021	1.1.4.1
12280020	1.1.5.2
12280019	1.1.1.1
12280018	1.1.3.2
12280018	1.1.3.1
12280017	3.2.2.2
12280017	3.2.2.1
12280028	1.1.3.2
12280028	1.1.3.1
12270007	2.2.5.1
12270006	2.2.5.1
12270005	2.2.6.1
12270004	2.2.6.1
12270003	2.2.6.1
12270002	3.2.2.1
12270001	1.1.3.1
12260001	2.2.2.3
12250001	2.2.1.3
12240001	3.1.1.1
12240004	2.2.6.1
12240003	3.1.1.1
12240002	3.1.1.1
12230001	3.2.2.1
12230002	2.2.6.1
12230003	2.2.6.1
12230004	2.2.6.1
12230005	2.2.5.1
12230006	2.2.5.1
12220001	4.2.1.1
12220001	4.2.2.1
12220001	4.2.1.3
12220001	4.2.1.4
12220001	4.2.1.2
12220001	4.2.2.2
12220001	4.2.2.3
12210001	2.2.5.1
12210002	2.2.1.3
12210003	3.1.2.4
12210004	2.2.6.1
12210005	3.1.1.1
12200001	3.2.2.1
12200001	3.1.1.1
12190001	2.2.2.1
12180006	3.2.2.1
12180006	3.1.2.4
12180007	2.2.6.1
12180008	2.2.6.1
12180009	2.2.6.1
12180010	2.2.6.1
12180011	2.2.6.1
12180012	2.2.6.1
12180005	3.2.2.1
12180005	3.1.2.4
12180004	3.2.2.1
12180004	3.1.2.4
12180003	3.2.2.1
12180003	3.1.2.4
12180002	3.2.2.1
12180002	3.1.2.4
12180002	3.1.1.1
12180001	3.2.2.1
12180001	3.1.2.4
12180001	3.1.1.1
12170001	3.2.2.1
12160001	3.2.2.1
12160002	3.2.2.1
12160003	3.2.2.1
12150001	1.1.3.1
12150002	1.1.1.2
12140001	2.2.1.3
12140002	2.2.6.1
12140003	2.2.6.1
12140004	2.1.1.2
12140006	2.2.6.1
12140007	2.2.6.1
12140008	2.1.1.2
12140005	2.2.1.3
12130001	3.2.2.1
12130001	2.2.5.1
12130001	2.2.1.3
12130001	1.1.5.3
12130002	3.2.2.1
12130002	2.2.5.1
12130002	2.2.1.3
12130002	1.1.5.3
12120003	2.1.1.2
12120004	2.1.1.2
12120005	2.1.1.2
12120006	2.1.1.2
12120007	2.1.1.2
12120008	2.1.1.2
12120009	2.2.6.1
12120010	2.2.6.1
12120011	2.2.6.1
12120012	2.2.6.1
12120013	2.2.6.1
12120014	2.2.6.1
12120015	2.2.6.1
12120016	2.2.6.1
12120017	2.2.6.1
12120018	2.2.2.1
12120019	2.2.2.1
12120020	2.2.2.1
12120021	2.2.2.1
12120022	2.2.2.1
12120023	2.2.2.1
12120002	2.1.1.2
12120024	2.1.1.2
12120001	2.1.1.2
12120025	2.1.1.2
12120026	2.1.1.2
12120027	2.1.1.2
12120028	3.1.1.1
12120029	3.1.1.2
12120029	3.1.1.1
12120030	3.2.2.1
12120031	3.2.2.1
12120032	3.2.2.1
12110005	3.1.2.1
12110001	1.1.6.1
12110002	3.1.2.4
12110003	1.3.X.X
12110004	2.2.6.1
12110006	3.1.1.1
12100001	1.1.5.2
12100002	1.1.5.3
12090001	3.1.1.2
12090001	3.1.1.1
12080001	2.1.1.2
12070001	3.1.1.2
12070001	3.1.1.1
12060001	3.1.2.4
12060002	3.1.2.4
12060003	4.2.1.1
12060004	4.2.1.1
12060005	3.2.2.1
12060006	3.2.2.1
12060007	3.2.2.1
12060008	3.2.2.1
12050019	2.2.2.3
12050019	4.2.1.1
12050019	4.2.1.2
12050019	1.1.5.1
12050019	2.2.4.1
12050001	2.2.4.1
12050002	2.1.1.2
12050003	1.1.5.1
12050004	2.2.4.1
12050005	2.2.2.3
12050006	1.1.5.1
12050007	4.2.1.1
12050007	4.2.1.2
12050008	2.1.1.2
12050008	1.1.5.1
12050008	2.2.2.3
12050008	2.2.4.1
12050009	2.1.1.2
12050009	1.1.5.1
12050009	2.2.2.3
12050009	2.2.4.1
12050010	2.1.1.2
12050010	1.1.5.1
12050010	2.2.2.3
12050010	2.2.4.1
12050011	2.1.1.2
12050011	1.1.5.1
12050011	2.2.2.3
12050011	2.2.4.1
12050012	2.1.1.2
12050012	1.1.5.1
12050012	2.2.2.3
12050012	2.2.4.1
12050013	2.1.1.2
12050013	1.1.5.1
12050013	2.2.2.3
12050013	2.2.4.1
12050014	2.1.1.2
12050014	1.1.5.1
12050014	2.2.2.3
12050014	2.2.4.1
12050015	2.1.1.2
12050015	1.1.5.1
12050015	2.2.2.3
12050015	2.2.4.1
12050016	2.1.1.2
12050016	1.1.5.1
12050016	2.2.2.3
12050016	2.2.4.1
12050017	2.2.2.3
12050017	4.2.1.1
12050017	4.2.1.2
12050017	1.1.5.1
12050017	2.2.4.1
12050018	2.2.2.3
12050018	4.2.1.1
12050018	4.2.1.2
12050018	1.1.5.1
12050018	2.2.4.1
12050022	2.2.2.3
12050022	4.2.1.1
12050022	4.2.1.2
12050022	1.1.5.1
12050022	2.2.4.1
12050023	2.2.2.3
