from	to
Other mineral or non- mineral substances or ecosystem properties used for nutrition, materials or (4)	Non-aqueous natural abiotic ecosystem outputs
Intellectual and representative interactions with abiotic components of the natural environment (6)	Direct, in-situ and outdoor interactions with natural physical systems that depend on presence in the environmental setting
Other (6)	Other abiotic characteristics of nature that have cultural significance
Pest and disease control (2)	Regulation of physical, chemical, biological conditions
Other aqueous ecosystem outputs (4)	Water
Maintenance of physical, chemical, abiotic conditions (5)	Regulation of physical, chemical, biological conditions
Mediation of nuisances of anthropogenic origin (5)	Transformation of biochemical or physical inputs to ecosystems
Regulation of baseline flows and extreme events (2)	Regulation of physical, chemical, biological conditions
Non-mineral substances or ecosystem properties used for nutrition, materials or energy (4)	Non-aqueous natural abiotic ecosystem outputs
Water conditions (2)	Regulation of physical, chemical, biological conditions
Regulation of baseline flows and extreme (2)	Regulation of physical, chemical, biological
Lifecycle maintenance, habitat and gene pool protection (2)	Regulation of physical, chemical, biological conditions
Mediation of nuisances of anthropogenic origin (2)	Transformation of biochemical or physical inputs to ecosystems
Intellectual and representative interactions with natural environment (3)	Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting
Other biotic characteristics that have a non-use value (3)	Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting
Non-mineral substances or ecosystem properties used for nutrition, materials or (4)	Non-aqueous natural abiotic ecosystem outputs
Mediation of wastes or toxic substances of anthropogenic origin by living processes (2)	Transformation of biochemical or physical inputs to ecosystems
Mediation of waste, toxics and other nuisances by non- living processes (5)	Transformation of biochemical or physical inputs to ecosystems
Reared animals  for nutrition, materials or energy (1)	Biomass
Other (3)	Other characteristics of living systems that have cultural significance
Physical and experiential interactions with natural abiotic components of the environment (6)	Direct, in-situ and outdoor interactions with natural physical systems that depend on presence in the environmental setting
Spiritual, symbolic and other interactions with the abiotic components of the natural environment (6)	Indirect, remote, often indoor interactions with physical systems that do not require presence in the environmental setting
Reared aquatic animals for nutrition, materials or energy (1)	Biomass
Regulation of baseline flows and extreme events (5)	Regulation of physical, chemical, biological conditions
Cultivated aquatic  plants for nutrition, materials or energy (1)	Biomass
Other abiotic characteristics that have a non-use value (6)	Indirect, remote, often indoor interactions with physical systems that do not require presence in the environmental setting
Cultivated terrestrial plants for nutrition, materials or energy (1)	Biomass
Physical and experiential interactions with natural environment (3)	Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting
Regulation of soil quality (2)	Regulation of physical, chemical, biological conditions
Atmospheric composition and conditions (2)	Regulation of physical, chemical, biological conditions
Other (2)	Other types of regulation and maintenance service by living processes
Surface water used for nutrition, materials or energy (4)	Water
Mineral substances used for nutrition, materials or (4)	Non-aqueous natural abiotic ecosystem outputs
Spiritual, symbolic and other interactions with natural environment (3)	Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting
Other (5)	Other type of regulation and maintenance service by abiotic processes
Ground water for used for nutrition, materials or energy (4)	Water
Mineral substances used for nutrition, materials or energy (4)	Non-aqueous natural abiotic ecosystem outputs
