from	to
12410006	DEU
12410005	DEU
12410004	DEU
12410003	DEU
12410002	DEU
12410001	DEU
12410008	DEU
12410007	DEU
12400003	DEU
12400002	DEU
12400001	DEU
12390001	DEU
12390004	DEU
12390003	DEU
12390002	DEU
12380006	DEU
12380004	DEU
12380005	DEU
12380001	DEU
12380002	DEU
12380003	DEU
12370001	DEU
12370002	DEU
12370003	DEU
12360001	DEU
12360002	DEU
12350001	DEU
12350002	DEU
12350004	DEU
12350005	DEU
12350006	DEU
12350007	DEU
12350003	DEU
12340001	DEU
12340002	DEU
12330001	AUT
12330002	AUT
12330003	AUT
12320004	DEU
12320003	DEU
12320002	DEU
12320001	DEU
12320006	DEU
12320007	DEU
12320005	DEU
12310001	NLD
12310002	NLD
12300001	NLD
12290002	BES
12290001	NLD
12280012	DEU
12280011	DEU
12280010	DEU
12280009	DEU
12280008	DEU
12280007	DEU
12280006	DEU
12280005	DEU
12280004	DEU
12280003	DEU
12280002	DEU
12280001	DEU
12280013	DEU
12280014	DEU
12280015	DEU
12280016	DEU
12280036	FRA
12280035	FRA
12280034	FRA
12280033	FRA
12280032	FRA
12280031	FRA
12280030	FRA
12280029	FRA
12280027	FRA
12280026	FRA
12280025	FRA
12280024	FRA
12280023	FRA
12280022	FRA
12280021	FRA
12280020	FRA
12280019	FRA
12280018	FRA
12280017	DEU
12280028	FRA
12270007	NLD
12270006	NLD
12270005	NLD
12270004	NLD
12270003	NLD
12270002	NLD
12270001	NLD
12260001	NLD
12250001	NLD
12240001	NLD
12240004	NLD
12240003	NLD
12240002	NLD
12230001	NLD
12230002	NLD
12230003	NLD
12230004	NLD
12230005	NLD
12230006	NLD
12220001	NLD
12210001	NLD
12210002	NLD
12210003	NLD
12210004	NLD
12210005	NLD
12200001	NLD
12190001	NLD
12180006	NLD
12180007	NLD
12180008	NLD
12180009	NLD
12180010	NLD
12180011	NLD
12180012	NLD
12180005	NLD
12180004	NLD
12180003	NLD
12180002	NLD
12180001	NLD
12170001	NLD
12160001	NLD
12160002	NLD
12160003	NLD
12150001	NLD
12150002	NLD
12140001	NLD
12140002	NLD
12140003	NLD
12140004	NLD
12140006	NLD
12140007	NLD
12140008	NLD
12140005	NLD
12130001	NLD
12130002	NLD
12120003	NLD
12120004	NLD
12120005	NLD
12120006	NLD
12120007	NLD
12120008	NLD
12120009	NLD
12120010	NLD
12120011	NLD
12120012	NLD
12120013	NLD
12120014	NLD
12120015	NLD
12120016	NLD
12120017	NLD
12120018	NLD
12120019	NLD
12120020	NLD
12120021	NLD
12120022	NLD
12120023	NLD
12120002	NLD
12120024	NLD
12120001	NLD
12120025	NLD
12120026	NLD
12120027	NLD
12120028	NLD
12120029	NLD
12120030	NLD
12120031	NLD
12120032	NLD
12110005	WLD
12110001	WLD
12110002	WLD
12110003	WLD
12110004	WLD
12110006	WLD
12100001	MAR
12100002	MAR
12090001	MAR
12080001	COL
12070001	UGA
12060001	CHL
12060002	CHL
12060003	CHL
12060004	CHL
12060005	CHL
12060006	CHL
12060007	CHL
12060008	CHL
12050019	ETH
12050001	ETH
12050002	ETH
12050003	ETH
12050004	ETH
12050005	ETH
12050006	ETH
12050007	ETH
12050008	ETH
12050009	ETH
12050010	ETH
12050011	ETH
12050012	ETH
12050013	ETH
12050014	ETH
12050015	ETH
12050016	ETH
12050017	ETH
12050018	ETH
12050022	ETH
12050023	ETH
12050024	ETH
12050025	ETH
12050021	ETH
12050020	ETH
12040003	COL
12040004	COL
12040005	COL
12040002	COL
12040001	COL
12030002	COL
12020002	ETH
12020001	ETH
12010001	ETH
12010002	ETH
12000001	MEX
12000002	MEX
12000003	MEX
11990001	CHL
11990002	CHL
11990003	CHL
11980001	PRT
11980002	PRT
11980003	PRT
11980004	PRT
11980005	PRT
11980006	PRT
11980007	PRT
11980008	PRT
11980009	PRT
11980010	PRT
11980011	PRT
11980012	PRT
11980013	PRT
11980014	PRT
11980015	PRT
11980016	PRT
11980017	PRT
11980018	PRT
11980019	PRT
11980020	PRT
11980021	PRT
11980022	PRT
11980024	PRT
11980023	PRT
11970007	CAN
11970008	CAN
11970009	CAN
11970010	CAN
11970011	CAN
11970012	CAN
11970013	CAN
11970014	CAN
11970015	CAN
11970016	CAN
11970017	CAN
11970018	CAN
11970019	CAN
11970020	CAN
11970006	CAN
11970005	CAN
11970003	CAN
11970001	CAN
11970002	CAN
11970004	CAN
11960001	ITA
11950001	ITA
11940001	PER
11930001	TZA
11920001	ZWE
11910001	ETH
11910002	ETH
11910003	ETH
11900001	CRI
11890001	GHA
11890002	GHA
11890003	GHA
11890004	GHA
11890005	GHA
11890006	GHA
11880002	COL
11880001	COL
11880005	COL
11880006	COL
11880007	COL
11880008	COL
11880004	COL
11880003	COL
11870001	ETH
11870002	ETH
11860001	GHA
11860002	GHA
11860003	GHA
11860004	GHA
11860005	GHA
11860006	GHA
11850001	BLZ
11850002	BLZ
11840001	NGA
11830001	COL
11830002	COL
11830003	COL
11820001	ARG
11810001	MWI
11800001	ECU
11800002	ECU
11790001	BRA
11790002	BRA
11780008	ETH
11780007	ETH
11780006	ETH
11780005	ETH
11780001	ETH
11780002	ETH
11780003	ETH
11780004	ETH
11770001	FLK
11770002	FLK
11770003	FLK
11770004	FLK
11770005	FLK
11760001	BRA
11760002	BRA
11760004	BRA
11760003	BRA
11750001	SDN
11740001	ECU
11740002	ECU
11740003	ECU
11740004	ECU
11740005	ECU
11740006	ECU
11740007	ECU
11740008	ECU
11730001	CHL
11720001	UGA
11720002	UGA
11720003	UGA
11720004	UGA
11720005	UGA
11720006	UGA
11710001	TZA
11700001	GHA
11700002	GHA
11700003	GHA
11700004	GHA
11700005	GHA
11700006	GHA
11700007	GHA
11700008	GHA
11700009	GHA
11700010	GHA
11700011	GHA
11700012	GHA
11700013	GHA
11700014	GHA
11700015	GHA
11700016	GHA
11690004	CAN
11690003	CAN
11690002	CAN
11690001	CAN
11680001	TZA
11670001	ARG
11660001	BRA
11650001	NAM
11650002	NAM
11650003	NAM
11640001	BRA
11640002	BRA
11640003	BRA
11640004	BRA
11630008	GHA
11630001	GHA
11630002	GHA
11630003	GHA
11630004	GHA
11630005	GHA
11630006	GHA
11630007	GHA
11630011	GHA
11630012	GHA
11630013	GHA
11630014	GHA
11630015	GHA
11630016	GHA
11630017	GHA
11630018	GHA
11630019	GHA
11630020	GHA
11630021	GHA
11630022	GHA
11630010	GHA
11630009	GHA
11620011	SOM
11620012	SOM
11620013	SOM
11620014	SOM
11620015	SOM
11620016	SOM
11620017	SOM
11620018	SOM
11620019	SOM
11620020	SOM
11620021	SOM
11620022	SOM
11620023	SOM
11620024	SOM
11620010	SOM
11620009	SOM
11620008	SOM
11620007	SOM
11620001	SOM
11620002	SOM
11620003	SOM
11620004	SOM
11620005	SOM
11620006	SOM
11610001	SOM
11610002	SOM
11610003	SOM
11610004	SOM
11610005	SOM
11610006	SOM
11610007	SOM
11610009	SOM
11610010	SOM
11610011	SOM
11610012	SOM
11610008	SOM
11600001	RWA
11600002	RWA
11600003	RWA
11600004	RWA
11590001	IND
11590002	IND
11590003	IND
11590004	IND
11590005	IND
11590006	IND
11590007	IND
11590008	IND
11590009	IND
11590010	IND
11590011	IND
11590012	IND
11580012	IND
11580013	IND
11580014	IND
11580015	IND
11580016	IND
11580017	IND
11580018	IND
11580019	IND
11580020	IND
11580021	IND
11580022	IND
11580023	IND
11580024	IND
11580011	IND
11580010	IND
11580008	IND
11580001	IND
11580002	IND
11580003	IND
11580004	IND
11580005	IND
11580006	IND
11580007	IND
11580009	IND
11570001	ARG
11570002	ARG
11570003	ARG
11570004	ARG
11570005	ARG
11570006	ARG
11570007	ARG
11570008	ARG
11560028	KEN
11560007	KEN
11560008	KEN
11560009	KEN
11560010	KEN
11560011	KEN
11560012	KEN
11560013	KEN
11560014	KEN
11560015	KEN
11560016	KEN
11560017	KEN
11560018	KEN
11560019	KEN
11560020	KEN
11560021	KEN
11560022	KEN
11560023	KEN
11560024	KEN
11560025	KEN
11560026	KEN
11560027	KEN
11560006	KEN
11560005	KEN
11560004	KEN
11560003	KEN
11560001	KEN
11560002	KEN
11560031	KEN
11560032	KEN
11560033	KEN
11560034	KEN
11560035	KEN
11560036	KEN
11560030	KEN
11560029	KEN
11550030	KEN
11550009	KEN
11550010	KEN
11550011	KEN
11550012	KEN
11550013	KEN
11550014	KEN
11550015	KEN
11550016	KEN
11550017	KEN
11550018	KEN
11550019	KEN
11550020	KEN
11550021	KEN
11550022	KEN
11550023	KEN
11550024	KEN
11550025	KEN
11550026	KEN
11550027	KEN
11550028	KEN
11550029	KEN
11550008	KEN
11550007	KEN
11550006	KEN
11550005	KEN
11550001	KEN
11550002	KEN
11550003	KEN
11550004	KEN
11550058	KEN
11550059	KEN
11550060	KEN
11550061	KEN
11550062	KEN
11550063	KEN
11550064	KEN
11550065	KEN
11550066	KEN
11550067	KEN
11550068	KEN
11550069	KEN
11550070	KEN
11550071	KEN
11550072	KEN
11550073	KEN
11550074	KEN
11550075	KEN
11550076	KEN
11550077	KEN
11550078	KEN
11550057	KEN
11550079	KEN
11550056	KEN
11550054	KEN
11550033	KEN
11550034	KEN
11550035	KEN
11550036	KEN
11550037	KEN
11550038	KEN
11550039	KEN
11550040	KEN
11550041	KEN
11550042	KEN
11550043	KEN
11550044	KEN
11550045	KEN
11550046	KEN
11550047	KEN
11550048	KEN
11550049	KEN
11550050	KEN
11550051	KEN
11550052	KEN
11550053	KEN
11550055	KEN
11550080	KEN
11550081	KEN
11550082	KEN
11550083	KEN
11550084	KEN
11550085	KEN
11550086	KEN
11550087	KEN
11550088	KEN
11550089	KEN
11550090	KEN
11550091	KEN
11550092	KEN
11550032	KEN
11550093	KEN
11550095	KEN
11550096	KEN
11550097	KEN
11550098	KEN
11550099	KEN
11550100	KEN
11550101	KEN
11550102	KEN
11550094	KEN
11550031	KEN
11540001	MLI
11540003	MLI
11540004	MLI
11540005	MLI
11540006	MLI
11540007	MLI
11540008	MLI
11540002	MLI
11530090	ETH
11530018	ETH
11530019	ETH
11530020	ETH
11530021	ETH
11530022	ETH
11530023	ETH
11530024	ETH
11530025	ETH
11530026	ETH
11530027	ETH
11530028	ETH
11530029	ETH
11530030	ETH
11530031	ETH
11530032	ETH
11530033	ETH
11530034	ETH
11530035	ETH
11530036	ETH
11530037	ETH
11530038	ETH
11530017	ETH
11530039	ETH
11530016	ETH
11530014	ETH
11530001	ETH
11530002	ETH
11530003	ETH
11530004	ETH
11530005	ETH
11530006	ETH
11530007	ETH
11530008	ETH
11530009	ETH
11530010	ETH
11530011	ETH
11530012	ETH
11530013	ETH
11530015	ETH
11530040	ETH
11530041	ETH
11530042	ETH
11530069	ETH
11530070	ETH
11530071	ETH
11530072	ETH
11530073	ETH
11530074	ETH
11530075	ETH
11530076	ETH
11530077	ETH
11530078	ETH
11530079	ETH
11530080	ETH
11530081	ETH
11530082	ETH
11530083	ETH
11530084	ETH
11530085	ETH
11530086	ETH
11530087	ETH
11530088	ETH
11530089	ETH
11530068	ETH
11530067	ETH
11530066	ETH
11530065	ETH
11530043	ETH
11530044	ETH
11530045	ETH
11530046	ETH
11530047	ETH
11530048	ETH
11530049	ETH
11530050	ETH
11530051	ETH
11530052	ETH
