from	to
12410006	Visual amenity services
12410005	Visual amenity services
12410004	Visual amenity services
12410003	Visual amenity services
12410002	Visual amenity services
12410001	Visual amenity services
12410008	Visual amenity services
12410007	Visual amenity services
12400003	Ecosystem and species appreciation
12400002	Ecosystem and species appreciation
12400001	Ecosystem and species appreciation
12390001	Noise attenuation services
12390001	Air filtration services
12390001	Local (micro and meso) climate regulation services
12390004	Visual amenity services
12390004	Air filtration services
12390004	Ecosystem and species appreciation
12390004	Noise attenuation services
12390003	Visual amenity services
12390003	Air filtration services
12390003	Ecosystem and species appreciation
12390003	Noise attenuation services
12390002	Noise attenuation services
12390002	Air filtration services
12390002	Local (micro and meso) climate regulation services
12380006	Recreation-related services
12380004	Recreation-related services
12380005	Recreation-related services
12380001	Recreation-related services
12380002	Recreation-related services
12380003	Recreation-related services
12370001	Visual amenity services
12370001	Spiritual, artistic and symbolic services
12370001	Education, scientific and research services
12370001	Other cultural services
12370001	Recreation-related services
12370002	Visual amenity services
12370002	Spiritual, artistic and symbolic services
12370002	Education, scientific and research services
12370002	Other cultural services
12370002	Recreation-related services
12370003	Visual amenity services
12370003	Spiritual, artistic and symbolic services
12370003	Education, scientific and research services
12370003	Other cultural services
12370003	Recreation-related services
12360001	Recreation-related services
12360002	Recreation-related services
12350001	Peak flow mitigation services
12350002	Visual amenity services
12350004	Visual amenity services
12350005	Visual amenity services
12350006	Recreation-related services
12350007	Education, scientific and research services
12350003	Visual amenity services
12340001	Wood provisioning services
12340002	Global climate regulation services
12330001	Wood provisioning services
12330002	Ecosystem and species appreciation
12330003	Ecosystem and species appreciation
12320004	Ecosystem and species appreciation
12320003	Ecosystem and species appreciation
12320002	Ecosystem and species appreciation
12320001	Ecosystem and species appreciation
12320006	Ecosystem and species appreciation
12320007	Ecosystem and species appreciation
12320005	Ecosystem and species appreciation
12310001	Wood provisioning services
12310002	Wild animals, plants and other biomass provisioning services
12310002	Recreation-related services
12300001	Visual amenity services
12300001	Air filtration services
12300001	River flood mitigation services
12300001	Local (micro and meso) climate regulation services
12300001	Peak flow mitigation services
12300001	Noise attenuation services
12300001	Recreation-related services
12300001	Global climate regulation services
12290002	Ecosystem and species appreciation
12290001	Ecosystem and species appreciation
12280012	Peak flow mitigation services
12280012	River flood mitigation services
12280011	Livestock provisioning services
12280010	Water supply
12280009	Crop provisioning services
12280008	Ecosystem and species appreciation
12280007	Wild fish and other natural aquatic biomass provisioning services
12280007	Recreation-related services
12280006	Visual amenity services
12280006	Recreation-related services
12280005	Global climate regulation services
12280004	Peak flow mitigation services
12280004	River flood mitigation services
12280003	Crop provisioning services
12280002	Wood provisioning services
12280001	Livestock provisioning services
12280013	Retention and breakdown of nutrients
12280014	Global climate regulation services
12280015	Visual amenity services
12280015	Recreation-related services
12280016	Wild fish and other natural aquatic biomass provisioning services
12280016	Recreation-related services
12280036	Ecosystem and species appreciation
12280035	Wild fish and other natural aquatic biomass provisioning services
12280035	Recreation-related services
12280034	Visual amenity services
12280034	Recreation-related services
12280033	Global climate regulation services
12280032	Retention and breakdown of nutrients
12280031	Peak flow mitigation services
12280031	River flood mitigation services
12280030	Wood provisioning services
12280029	Crop provisioning services
12280027	Ecosystem and species appreciation
12280026	Wild fish and other natural aquatic biomass provisioning services
12280026	Recreation-related services
12280025	Visual amenity services
12280025	Recreation-related services
12280024	Global climate regulation services
