from	to
Air quality regulation	Regulating
Maintenance of genetic diversity	Habitat
Climate regulation	Regulating
Medicinal resources	Provisioning
Pollination	Regulating
Maintenance of soil fertility	Regulating
Spiritual experience	Cultural
Waste treatment	Regulating
Food	Provisioning
Inspiration for culture, art and design	Cultural
Information for cognitive development	Cultural
Opportunities for recreation and tourism	Cultural
Raw materials	Provisioning
Biological control	Regulating
Regulation of water flows	Regulating
Ornamental resources	Provisioning
Moderation of extreme events	Regulating
Genetic resources	Provisioning
Aesthetic information	Cultural
Erosion prevention	Regulating
Water	Provisioning
Maintenance of life cycles	Habitat
Existence, bequest values	Cultural
