from	to
12220001	2
11380011	3
11380010	3
11380014	3
11380015	3
11380013	3
11380012	3
8920001	1
8920001	9
8920001	8
8920002	1
8920002	9
8920002	8
8920003	1
8920003	9
8920003	8
8700001	1
8700001	19
8700001	16
8700002	1
8700002	19
8700002	16
8700006	1
8700006	19
8700006	16
8700005	1
8700005	19
8700005	16
8630001	1
8630001	9
8630001	19
7970001	2
7970001	18
7970002	2
7970002	18
7860005	13
7620005	3
7620005	1
7620001	3
7620001	1
7620002	3
7620002	1
7620003	3
7620003	1
7620004	3
7620004	1
7620006	3
7620006	1
7580002	3
7580002	1
7570001	3
7570001	1
7570001	6
7570001	5
7510002	3
7350003	23
7350002	23
7340021	23
7340002	23
7340003	23
7340004	23
7340005	23
7340006	23
7340007	23
7340008	23
7340009	23
7340011	23
7340012	23
7340013	23
7340014	23
7340015	23
7340016	23
7340017	23
7340018	23
7340019	23
7340020	23
7340010	23
7150012	23
7150012	19
7150014	23
7150014	19
7150016	23
7150016	19
7150018	23
7150018	19
7150020	23
7150010	23
7150010	19
7150008	23
7150008	19
7150004	23
7150004	19
7150006	23
7150006	19
7120006	12
7120006	1
7120006	23
7120006	19
7120014	23
7120015	12
7120015	1
7120015	23
7120015	19
7010018	3
7010019	3
7010019	1
7010019	6
6990001	10
6990002	11
6990003	1
6990004	19
6980001	2
6970002	9
6970003	10
6970004	3
6970004	1
6920001	2
6830001	1
6830001	3
6830001	17
6830001	2
6830001	18
6830001	16
6680001	19
6680002	16
6600001	19
6600002	21
6600002	18
6580001	1
6580002	1
6580002	19
6580003	3
6530004	2
6530004	3
6530007	2
6530007	3
6530010	2
6530010	3
6530013	2
6530013	3
6530016	2
6530016	3
6530019	2
6530019	3
6530001	2
6530001	3
6520001	19
6500004	3
6380001	2
6380003	1
6350005	3
6300001	17
6270006	1
6270007	3
6270007	1
6220002	3
6220002	9
6220002	10
6220002	8
6200001	1
6200002	3
6200003	1
6200003	19
6170001	1
6170002	3
6170003	16
6170004	3
6170005	9
6170006	19
6170007	19
6150002	18
6150001	9
6150005	1
6150005	19
6150004	1
6150004	19
6150003	11
6150003	7
6050001	19
6050002	3
6050002	1
6050003	18
6050003	17
6040001	1
6040001	3
6040001	11
6040001	9
6040001	18
6040001	19
6040001	16
6020001	19
6020001	17
5990001	11
5990001	2
5990001	9
5930007	3
5930010	19
5910001	16
5880001	1
5880001	19
5880002	1
5880002	19
5870001	1
5870001	17
5870001	11
5870001	2
5870001	18
5870001	19
5870001	16
5860001	1
5860001	19
5850001	3
5840001	13
5830001	3
5830001	1
5830002	3
5830003	1
5830004	2
5820001	19
5790001	1
5790001	19
5750005	17
5750003	3
5750003	1
5750002	1
5750001	3
