from	to
12410006	181
12410005	181
12410004	181
12410003	181
12410002	181
12410001	181
12410008	181
12410007	181
12400003	231
12400002	231
12400001	231
12390001	84
12390001	113
12390001	72
12390004	84
12390004	181
12390004	232
12390004	113
12390004	71
12390004	231
12390003	84
12390003	181
12390003	232
12390003	113
12390003	71
12390003	231
12390002	84
12390002	113
12390002	72
12380006	192
12380006	193
12380004	192
12380004	193
12380005	192
12380005	193
12380001	192
12380001	193
12380002	192
12380002	193
12380003	192
12380003	193
12370001	181
12370001	232
12370001	191
12370001	231
12370001	192
12370002	181
12370002	232
12370002	191
12370002	231
12370002	192
12370003	181
12370003	232
12370003	191
12370003	231
12370003	192
12360001	191
12360002	191
12350001	92
12350002	181
12350004	181
12350005	181
12350006	191
12350007	222
12350003	181
12340001	32
12340002	81
12330001	32
12330002	232
12330002	231
12330003	232
12330003	231
12320004	231
12320003	231
12320002	231
12320001	231
12320006	231
12320007	231
12320005	231
12310001	32
12310002	194
12310002	191
12300001	84
12300001	181
12300001	92
12300001	191
12300001	113
12300001	72
12300001	81
12290002	232
12290002	231
12290001	232
12290001	231
12280012	92
12280011	16
12280010	21
12280009	13
12280008	232
12280008	231
12280007	11
12280007	191
12280006	181
12280006	191
12280005	81
12280004	92
12280003	13
12280002	32
12280001	16
12280013	111
12280014	81
12280015	181
12280015	191
12280016	11
12280016	191
12280036	232
12280036	231
12280035	11
12280035	191
12280034	181
12280034	191
12280033	81
12280032	111
12280031	92
12280030	32
12280029	13
12280027	232
12280027	231
12280026	11
12280026	191
12280025	181
12280025	191
12280024	81
12280023	111
12280022	92
12280021	13
12280020	32
12280019	13
12280018	16
12280017	232
12280017	231
12280028	16
12270007	111
12270006	111
12270005	81
12270004	81
12270003	81
12270002	231
12270001	16
12260001	171
12250001	92
12240001	191
12240004	81
12240003	181
12240002	181
12230001	231
12230002	81
12230003	81
12230004	81
12230005	111
12230006	111
12210001	111
12210002	92
12210003	181
12210004	81
12210005	191
12200001	191
12200001	231
12190001	141
12180006	191
12180006	231
12180007	81
12180008	81
12180009	81
12180010	81
12180011	81
12180012	81
12180005	191
12180005	231
12180004	191
12180004	231
12180003	191
12180003	231
12180002	181
12180002	191
12180002	231
12180001	181
12180001	191
12180001	231
12170001	231
12160001	231
12160002	231
12160003	231
12150001	16
12150002	31
12140001	104
12140002	81
12140003	85
12140004	111
12140006	81
12140007	85
12140008	111
12140005	104
12130001	92
12130001	191
12130001	36
12130001	231
12130001	111
12130002	92
12130002	191
12130002	36
12130002	231
12130002	111
12120003	71
12120004	71
12120005	71
12120006	71
12120007	71
12120008	71
12120009	81
12120010	81
12120011	81
12120012	81
12120013	81
12120014	81
12120015	81
12120016	81
12120017	81
12120018	141
12120019	141
12120020	141
12120021	141
12120022	141
12120023	141
12120002	71
12120024	111
12120001	71
12120025	111
12120026	111
12120027	111
12120028	191
12120029	192
12120030	231
12120031	231
12120032	231
12110005	221
12110001	11
12110002	61
12110003	54
12110004	81
12110006	191
12100001	32
12100002	33
12090001	192
12090001	191
12080001	71
12070001	191
12060001	181
12060002	181
12060003	21
12060004	21
12060005	231
12060006	231
12060007	231
12060008	231
12050019	34
12050019	171
12050019	26
12050019	121
12050001	121
12050002	81
12050003	14
12050004	121
12050005	171
12050006	34
12050007	26
12050008	14
12050008	171
12050008	121
12050008	81
12050009	14
12050009	171
12050009	121
12050009	81
12050010	14
12050010	171
12050010	121
12050010	81
12050011	14
12050011	171
12050011	121
12050011	81
12050012	14
12050012	171
12050012	121
12050012	81
12050013	14
12050013	171
12050013	121
12050013	81
12050014	14
12050014	171
12050014	121
12050014	81
12050015	14
12050015	171
12050015	121
12050015	81
12050016	14
12050016	171
12050016	121
12050016	81
12050017	34
12050017	171
12050017	26
12050017	121
12050018	34
12050018	171
12050018	26
12050018	121
12050022	34
12050022	171
12050022	26
12050022	121
12050023	34
12050023	171
12050023	26
12050023	121
12050024	34
12050024	171
12050024	26
12050024	121
12050025	34
12050025	171
12050025	26
12050025	121
12050021	34
12050021	171
12050021	26
12050021	121
12050020	34
12050020	171
12050020	26
12050020	121
12040003	191
12040004	181
12040005	202
12040002	92
12040001	92
12030002	231
12020002	231
12020001	231
12010001	121
12010002	92
12000001	26
12000001	191
12000002	143
12000002	154
12000002	15
12000003	143
12000003	154
12000003	15
11990001	33
11990002	33
11990003	21
11980001	231
11980002	231
11980003	231
11980004	231
11980005	231
11980006	231
11980007	231
11980008	231
11980009	231
11980010	231
11980011	231
11980012	231
11980013	231
11980014	231
11980015	231
11980016	231
11980017	231
11980018	231
11980019	231
11980020	231
11980021	231
11980022	231
11980024	231
11980023	231
11970007	231
11970008	231
11970009	231
11970010	231
11970011	231
11970012	231
11970013	231
11970014	231
11970015	231
11970016	231
11970017	231
11970018	231
11970019	231
11970020	231
11970006	231
11970005	231
11970003	231
11970001	231
11970002	231
11970004	231
11960001	231
11950001	231
11940001	231
11930001	121
11930001	21
11930001	104
11920001	211
11910001	13
11910001	231
11910002	13
11910002	231
11910003	13
11910003	231
11900001	21
11890001	231
11890002	231
11890003	111
11890004	111
11890005	193
11890006	193
11880002	231
11880001	231
11880005	231
11880006	231
11880007	231
11880008	231
11880004	231
11880003	231
11870001	231
11870002	231
11860001	231
11860002	231
11860003	231
11860004	231
11860005	231
11860006	231
11850001	11
11850002	193
11840001	84
11840001	73
11840001	181
11840001	92
11840001	121
11840001	113
11840001	72
11840001	231
11830001	26
11830001	232
11830001	121
11830001	92
11830001	161
11830001	11
11830001	191
11830001	133
11830001	231
11830001	192
11830002	26
11830002	232
11830002	121
11830002	92
11830002	161
11830002	11
11830002	191
11830002	133
11830002	231
11830002	192
11830003	26
11830003	232
11830003	121
11830003	92
11830003	161
11830003	11
11830003	191
11830003	133
11830003	231
11830003	192
11820001	14
11810001	153
11810001	231
11810001	232
11810001	92
11810001	11
11810001	171
11810001	94
11810001	83
11810001	111
11800001	191
11800002	191
11790001	151
11790002	81
11780008	121
11780007	121
11780006	121
11780005	121
11780001	121
11780002	121
11780003	121
11780004	121
11770001	81
11770002	81
11770003	11
11770004	51
11770005	13
11760001	232
11760002	232
11760004	232
11760003	232
11750001	14
11740001	191
11740002	191
11740003	191
11740004	191
11740005	191
11740006	191
11740007	191
11740008	191
11730001	152
11720001	22
11720001	25
11720001	21
11720001	231
11720002	22
11720002	25
11720002	21
11720002	231
11720003	22
11720003	25
11720003	21
11720003	231
11720004	22
11720004	25
11720004	21
11720004	231
11720005	22
11720005	25
11720005	21
11720005	231
11720006	22
11720006	25
11720006	21
11720006	231
11710001	101
11710001	25
11710001	21
11710001	121
11710001	102
11710001	131
11710001	22
11710001	134
11710001	171
11710001	23
11700001	81
11700002	81
11700003	81
11700004	81
11700005	81
11700006	81
11700007	81
11700008	81
11700009	81
11700010	81
11700011	81
11700012	81
11700013	81
11700014	81
11700015	81
11700016	81
11690004	11
11690003	11
11690002	11
11690001	111
11680001	32
11670001	231
11660001	25
11660001	191
11650001	81
11650002	81
11650003	81
11640001	22
11640001	21
11640001	231
11640002	22
11640002	21
11640002	231
11640003	22
11640003	21
11640003	231
11640004	22
11640004	21
11640004	231
11630008	32
11630001	15
11630002	33
11630003	51
11630004	15
11630005	33
11630006	12
11630007	13
11630011	32
11630012	36
11630013	26
11630014	31
11630015	72
11630016	73
11630017	211
11630018	181
11630019	211
11630020	232
11630021	231
11630022	232
11630010	32
11630009	32
11620013	12
11620013	34
11620014	12
11620014	34
11620015	12
11620015	34
11620016	12
11620016	34
11620017	12
11620017	34
11620018	12
11620018	34
11620019	12
11620019	34
11620020	12
11620020	34
11620021	12
11620021	34
11620022	12
11620022	34
11620023	12
11620023	34
11620024	12
11620024	34
11610001	34
11610001	33
11610001	36
11610001	32
11610002	34
11610002	33
11610002	36
11610002	32
11610003	34
11610003	33
11610003	36
11610003	32
11610004	34
11610004	33
11610004	36
11610004	32
11610005	34
11610005	33
11610005	36
11610005	32
11610006	34
11610006	33
11610006	36
11610006	32
11610007	34
11610007	33
11610007	36
11610007	32
11610009	34
11610009	33
11610009	36
11610009	32
11610010	34
11610010	33
11610010	36
11610010	32
11610011	34
11610011	33
11610011	36
11610011	32
11610012	34
11610012	33
11610012	36
11610012	32
11610008	34
11610008	33
11610008	36
11610008	32
11600001	132
11600001	121
11600001	102
11600001	81
11600002	132
11600002	121
11600002	102
11600002	81
11600003	132
11600003	121
11600003	102
11600003	81
11600004	132
11600004	121
11600004	102
11600004	81
11590001	13
11590002	12
11590003	171
11590004	81
11590005	13
11590006	12
11590007	171
11590008	81
11590009	13
11590010	12
11590011	171
11590012	81
11580012	34
11580012	13
11580012	21
11580013	34
11580013	13
11580013	21
11580014	34
11580014	13
11580014	21
11580015	34
11580015	13
11580015	21
11580016	34
11580016	13
11580016	21
11580017	34
11580017	13
11580017	21
11580018	34
11580018	13
11580018	21
11580019	34
11580019	13
11580019	21
11580020	34
11580020	13
11580020	21
11580021	34
11580021	13
11580021	21
11580022	34
11580022	13
11580022	21
11580023	34
11580023	13
11580023	21
11580024	34
11580024	13
11580024	21
11580011	34
11580011	13
11580011	21
11580010	34
11580010	13
11580010	21
11580008	34
11580008	13
11580008	21
11580001	34
11580001	13
11580001	21
11580002	34
11580002	13
11580002	21
11580003	34
11580003	13
11580003	21
11580004	34
11580004	13
11580004	21
11580005	34
11580005	13
11580005	21
11580006	34
11580006	13
11580006	21
11580007	34
11580007	13
11580007	21
11580009	34
11580009	13
11580009	21
11570001	232
11570001	51
11570002	232
11570002	51
11570003	232
11570003	51
11570004	232
11570004	51
11570005	232
11570005	51
11570006	232
11570006	51
11570007	36
11570007	232
